 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,%Area,RawIntDen
1, TransmB :  6xFFF [MV]; 400 [MU/min]  ,2.250E4,2.249E-3,3.162E-4,2.053E-3,1.442E-3,4.162E-3,5.950E2,5.950E2,5.061E1,2.207E-3,1.000E2,5.061E1
2, TransmA :  6xFFF [MV]; 400 [MU/min]  ,2.250E4,2.324E-3,3.547E-4,2.188E-3,1.524E-3,3.747E-3,5.950E2,5.950E2,5.230E1,2.256E-3,1.000E2,5.230E1
3, 20mm:  6xFFF [MV]; 400 [MU/min]  ,2.250E4,8.119E-2,8.218E-4,8.164E-2,7.883E-2,8.395E-2,5.950E2,5.950E2,1.827E3,8.127E-2,1.000E2,1.827E3
4, Open:  6xFFF [MV]; 400 [MU/min]  ,2.250E4,4.762E-1,4.312E-3,4.791E-1,4.632E-1,4.873E-1,5.950E2,5.950E2,1.071E4,4.767E-1,1.000E2,1.071E4
5, 6mm :  6xFFF [MV]; 400 [MU/min]  ,2.250E4,2.588E-2,4.200E-4,2.584E-2,2.467E-2,2.760E-2,5.950E2,5.950E2,5.824E2,2.586E-2,1.000E2,5.824E2
6, 2mm :  6xFFF [MV]; 400 [MU/min]  ,2.250E4,1.040E-2,3.594E-4,1.039E-2,9.421E-3,1.222E-2,5.950E2,5.950E2,2.340E2,1.038E-2,1.000E2,2.340E2
7, 10mm:  6xFFF [MV]; 400 [MU/min]  ,2.250E4,4.166E-2,5.173E-4,4.158E-2,4.013E-2,4.355E-2,5.950E2,5.950E2,9.374E2,4.166E-2,1.000E2,9.374E2
8, 4mm :  6xFFF [MV]; 400 [MU/min]  ,2.250E4,1.802E-2,3.873E-4,1.794E-2,1.691E-2,1.978E-2,5.950E2,5.950E2,4.055E2,1.800E-2,1.000E2,4.055E2
9, 16mm:  6xFFF [MV]; 400 [MU/min]  ,2.250E4,6.537E-2,6.952E-4,6.570E-2,6.333E-2,6.764E-2,5.950E2,5.950E2,1.471E3,6.542E-2,1.000E2,1.471E3
10, 14mm:  6xFFF [MV]; 400 [MU/min]  ,2.250E4,5.747E-2,6.324E-4,5.753E-2,5.559E-2,5.974E-2,5.950E2,5.950E2,1.293E3,5.750E-2,1.000E2,1.293E3
11,Result of  TransmB :  6xFFF [MV]; 400 [MU/min]  ,2.250E4,3.912E-2,5.385E-3,3.687E-2,2.529E-2,7.123E-2,5.950E2,5.950E2,8.803E2,3.839E-2,1.000E2,8.803E2
12,Result of  TransmA :  6xFFF [MV]; 400 [MU/min]  ,2.250E4,4.042E-2,5.960E-3,3.791E-2,2.703E-2,6.443E-2,5.950E2,5.950E2,9.094E2,3.929E-2,1.000E2,9.094E2
13,Result of  20mm:  6xFFF [MV]; 400 [MU/min]  ,2.250E4,1.413E0,3.235E-3,1.412E0,1.400E0,1.424E0,5.950E2,5.950E2,3.179E4,1.413E0,1.000E2,3.179E4
14,Result of  Open:  6xFFF [MV]; 400 [MU/min]  ,2.250E4,8.286E0,4.663E-2,8.291E0,8.066E0,8.437E0,5.950E2,5.950E2,1.864E5,8.288E0,1.000E2,1.864E5
15,Result of  6mm :  6xFFF [MV]; 400 [MU/min]  ,2.250E4,4.503E-1,3.460E-3,4.505E-1,4.395E-1,4.666E-1,5.950E2,5.950E2,1.013E4,4.502E-1,1.000E2,1.013E4
16,Result of  2mm :  6xFFF [MV]; 400 [MU/min]  ,2.250E4,1.809E-1,4.965E-3,1.798E-1,1.664E-1,2.065E-1,5.950E2,5.950E2,4.071E3,1.806E-1,1.000E2,4.071E3
17,Result of  10mm:  6xFFF [MV]; 400 [MU/min]  ,2.250E4,7.249E-1,2.084E-3,7.248E-1,7.173E-1,7.344E-1,5.950E2,5.950E2,1.631E4,7.248E-1,1.000E2,1.631E4
18,Result of  4mm :  6xFFF [MV]; 400 [MU/min]  ,2.250E4,3.136E-1,4.248E-3,3.119E-1,3.009E-1,3.377E-1,5.950E2,5.950E2,7.055E3,3.134E-1,1.000E2,7.055E3
19,Result of  16mm:  6xFFF [MV]; 400 [MU/min]  ,2.250E4,1.137E0,1.934E-3,1.137E0,1.130E0,1.144E0,5.950E2,5.950E2,2.559E4,1.137E0,1.000E2,2.559E4
