 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,%Area,RawIntDen
1, 20mm:  6xFFF [MV]; 400 [MU/min]  ,2.250E4,8.119E-2,8.218E-4,8.164E-2,7.883E-2,8.395E-2,5.950E2,5.950E2,1.827E3,8.127E-2,1.000E2,1.827E3
2, Open:  6xFFF [MV]; 400 [MU/min]  ,2.250E4,4.762E-1,4.312E-3,4.791E-1,4.632E-1,4.873E-1,5.950E2,5.950E2,1.071E4,4.767E-1,1.000E2,1.071E4
3, 6mm :  6xFFF [MV]; 400 [MU/min]  ,2.250E4,2.588E-2,4.200E-4,2.584E-2,2.467E-2,2.760E-2,5.950E2,5.950E2,5.824E2,2.586E-2,1.000E2,5.824E2
4, 2mm :  6xFFF [MV]; 400 [MU/min]  ,2.250E4,1.040E-2,3.594E-4,1.039E-2,9.421E-3,1.222E-2,5.950E2,5.950E2,2.340E2,1.038E-2,1.000E2,2.340E2
5, 10mm:  6xFFF [MV]; 400 [MU/min]  ,2.250E4,4.166E-2,5.173E-4,4.158E-2,4.013E-2,4.355E-2,5.950E2,5.950E2,9.374E2,4.166E-2,1.000E2,9.374E2
6, 4mm :  6xFFF [MV]; 400 [MU/min]  ,2.250E4,1.802E-2,3.873E-4,1.794E-2,1.691E-2,1.978E-2,5.950E2,5.950E2,4.055E2,1.800E-2,1.000E2,4.055E2
7, 16mm:  6xFFF [MV]; 400 [MU/min]  ,2.250E4,6.537E-2,6.952E-4,6.570E-2,6.333E-2,6.764E-2,5.950E2,5.950E2,1.471E3,6.542E-2,1.000E2,1.471E3
8, 14mm:  6xFFF [MV]; 400 [MU/min]  ,2.250E4,5.747E-2,6.324E-4,5.753E-2,5.559E-2,5.974E-2,5.950E2,5.950E2,1.293E3,5.750E-2,1.000E2,1.293E3
9, TransmB :  6xFFF [MV]; 400 [MU/min]  ,2.250E4,2.249E-3,3.162E-4,2.053E-3,1.442E-3,4.162E-3,5.950E2,5.950E2,5.061E1,2.207E-3,1.000E2,5.061E1
10, TransmA :  6xFFF [MV]; 400 [MU/min]  ,2.250E4,2.324E-3,3.547E-4,2.188E-3,1.524E-3,3.747E-3,5.950E2,5.950E2,5.230E1,2.256E-3,1.000E2,5.230E1
11,Result of  20mm:  6xFFF [MV]; 400 [MU/min]  ,2.250E4,1.705E-1,6.599E-4,1.704E-1,1.685E-1,1.737E-1,5.950E2,5.950E2,3.836E3,1.705E-1,1.000E2,3.836E3
12,Result of  6mm :  6xFFF [MV]; 400 [MU/min]  ,2.250E4,5.435E-2,7.079E-4,5.436E-2,5.235E-2,5.785E-2,5.950E2,5.950E2,1.223E3,5.432E-2,1.000E2,1.223E3
13,Result of  2mm :  6xFFF [MV]; 400 [MU/min]  ,2.250E4,2.184E-2,7.192E-4,2.175E-2,1.985E-2,2.561E-2,5.950E2,5.950E2,4.913E2,2.179E-2,1.000E2,4.913E2
14,Result of  10mm:  6xFFF [MV]; 400 [MU/min]  ,2.250E4,8.749E-2,6.928E-4,8.741E-2,8.550E-2,9.081E-2,5.950E2,5.950E2,1.969E3,8.746E-2,1.000E2,1.969E3
15,Result of  4mm :  6xFFF [MV]; 400 [MU/min]  ,2.250E4,3.785E-2,7.178E-4,3.757E-2,3.583E-2,4.158E-2,5.950E2,5.950E2,8.516E2,3.781E-2,1.000E2,8.516E2
16,Result of  16mm:  6xFFF [MV]; 400 [MU/min]  ,2.250E4,1.373E-1,6.769E-4,1.372E-1,1.354E-1,1.406E-1,5.950E2,5.950E2,3.089E3,1.372E-1,1.000E2,3.089E3
17,Result of  14mm:  6xFFF [MV]; 400 [MU/min]  ,2.250E4,1.207E-1,6.805E-4,1.206E-1,1.185E-1,1.240E-1,5.950E2,5.950E2,2.716E3,1.207E-1,1.000E2,2.716E3
18,Result of  TransmB :  6xFFF [MV]; 400 [MU/min]  ,2.250E4,4.724E-3,6.658E-4,4.427E-3,3.024E-3,8.771E-3,5.950E2,5.950E2,1.063E2,4.632E-3,1.000E2,1.063E2
19,Result of  TransmA :  6xFFF [MV]; 400 [MU/min]  ,2.250E4,4.880E-3,7.375E-4,4.515E-3,3.238E-3,7.874E-3,5.950E2,5.950E2,1.098E2,4.744E-3,1.000E2,1.098E2
