 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,%Area,RawIntDen
1, 4mm :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,2.156E-2,5.413E-4,2.163E-2,2.004E-2,2.372E-2,5.950E2,5.950E2,4.852E2,2.154E-2,1.000E2,4.852E2
2, 10mm:  10xFFF [MV]; 400 [MU/min]  ,2.250E4,4.591E-2,8.534E-4,4.622E-2,4.364E-2,4.871E-2,5.950E2,5.950E2,1.033E3,4.593E-2,1.000E2,1.033E3
3, 6mm :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,2.964E-2,6.302E-4,2.985E-2,2.788E-2,3.203E-2,5.950E2,5.950E2,6.670E2,2.964E-2,1.000E2,6.670E2
4, 14mm:  10xFFF [MV]; 400 [MU/min]  ,2.250E4,6.217E-2,1.083E-3,6.266E-2,5.934E-2,6.543E-2,5.950E2,5.950E2,1.399E3,6.224E-2,1.000E2,1.399E3
5, Open:  10xFFF [MV]; 400 [MU/min]  ,2.250E4,4.923E-1,7.907E-3,4.980E-1,4.720E-1,5.131E-1,5.950E2,5.950E2,1.108E4,4.930E-1,1.000E2,1.108E4
6, 16mm:  10xFFF [MV]; 400 [MU/min]  ,2.250E4,7.033E-2,1.208E-3,7.122E-2,6.718E-2,7.396E-2,5.950E2,5.950E2,1.583E3,7.041E-2,1.000E2,1.583E3
7, 2mm :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,1.374E-2,4.667E-4,1.367E-2,1.244E-2,1.589E-2,5.950E2,5.950E2,3.091E2,1.370E-2,1.000E2,3.091E2
8, 20mm:  10xFFF [MV]; 400 [MU/min]  ,2.250E4,8.659E-2,1.459E-3,8.716E-2,8.286E-2,9.075E-2,5.950E2,5.950E2,1.948E3,8.671E-2,1.000E2,1.948E3
9, TransmA :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,4.273E-3,4.822E-4,4.016E-3,3.180E-3,6.173E-3,5.950E2,5.950E2,9.615E1,4.181E-3,1.000E2,9.615E1
10, TransmB :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,4.252E-3,3.949E-4,4.023E-3,3.265E-3,7.267E-3,5.950E2,5.950E2,9.566E1,4.197E-3,1.000E2,9.566E1
11,Result of  4mm :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,4.380E-2,8.138E-4,4.357E-2,4.158E-2,4.791E-2,5.950E2,5.950E2,9.855E2,4.375E-2,1.000E2,9.855E2
12,Result of  10mm:  10xFFF [MV]; 400 [MU/min]  ,2.250E4,9.327E-2,7.911E-4,9.328E-2,9.108E-2,9.732E-2,5.950E2,5.950E2,2.099E3,9.323E-2,1.000E2,2.099E3
13,Result of  6mm :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,6.022E-2,8.039E-4,6.026E-2,5.806E-2,6.498E-2,5.950E2,5.950E2,1.355E3,6.017E-2,1.000E2,1.355E3
14,Result of  14mm:  10xFFF [MV]; 400 [MU/min]  ,2.250E4,1.263E-1,7.701E-4,1.262E-1,1.242E-1,1.306E-1,5.950E2,5.950E2,2.842E3,1.263E-1,1.000E2,2.842E3
15,Result of  16mm:  10xFFF [MV]; 400 [MU/min]  ,2.250E4,1.429E-1,7.645E-4,1.427E-1,1.407E-1,1.469E-1,5.950E2,5.950E2,3.215E3,1.428E-1,1.000E2,3.215E3
16,Result of  2mm :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,2.790E-2,8.160E-4,2.774E-2,2.588E-2,3.210E-2,5.950E2,5.950E2,6.278E2,2.785E-2,1.000E2,6.278E2
17,Result of  20mm:  10xFFF [MV]; 400 [MU/min]  ,2.250E4,1.759E-1,7.435E-4,1.758E-1,1.737E-1,1.795E-1,5.950E2,5.950E2,3.958E3,1.759E-1,1.000E2,3.958E3
18,Result of  TransmA :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,8.679E-3,9.491E-4,8.107E-3,6.563E-3,1.260E-2,5.950E2,5.950E2,1.953E2,8.504E-3,1.000E2,1.953E2
19,Result of  TransmB :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,8.638E-3,8.078E-4,8.257E-3,6.671E-3,1.487E-2,5.950E2,5.950E2,1.944E2,8.532E-3,1.000E2,1.944E2
