 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,%Area,RawIntDen
1, TransmA :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,4.358E-3,4.840E-4,4.084E-3,3.222E-3,6.309E-3,5.950E2,5.950E2,9.806E1,4.265E-3,1.000E2,9.806E1
2, aSG_2mm :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,8.342E-2,1.536E-3,8.465E-2,7.909E-2,8.806E-2,5.950E2,5.950E2,1.877E3,8.346E-2,1.000E2,1.877E3
3, aSG_5mm :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,7.689E-2,2.173E-3,7.706E-2,7.054E-2,8.276E-2,5.950E2,5.950E2,1.730E3,7.700E-2,1.000E2,1.730E3
4, aSG_1mm :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,8.566E-2,1.474E-3,8.595E-2,8.204E-2,9.002E-2,5.950E2,5.950E2,1.927E3,8.576E-2,1.000E2,1.927E3
5, aSG_10mm:  10xFFF [MV]; 400 [MU/min]  ,2.250E4,6.591E-2,3.810E-3,6.860E-2,5.593E-2,7.421E-2,5.950E2,5.950E2,1.483E3,6.658E-2,1.000E2,1.483E3
6, aSG_20mm:  10xFFF [MV]; 400 [MU/min]  ,2.250E4,6.432E-2,3.501E-3,6.286E-2,5.517E-2,7.267E-2,5.950E2,5.950E2,1.447E3,6.438E-2,1.000E2,1.447E3
7, TransmB :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,4.272E-3,3.971E-4,4.066E-3,3.248E-3,7.165E-3,5.950E2,5.950E2,9.613E1,4.214E-3,1.000E2,9.613E1
8, aSG_3mm :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,8.128E-2,1.693E-3,8.082E-2,7.643E-2,8.633E-2,5.950E2,5.950E2,1.829E3,8.128E-2,1.000E2,1.829E3
9, Open:  10xFFF [MV]; 400 [MU/min]  ,2.250E4,4.925E-1,7.930E-3,4.985E-1,4.721E-1,5.136E-1,5.950E2,5.950E2,1.108E4,4.933E-1,1.000E2,1.108E4
10, aSG_7mm :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,7.247E-2,2.780E-3,7.370E-2,6.474E-2,7.929E-2,5.950E2,5.950E2,1.630E3,7.282E-2,1.000E2,1.630E3
11, 20mm:  10xFFF [MV]; 400 [MU/min]  ,2.250E4,8.656E-2,1.469E-3,8.725E-2,8.280E-2,9.074E-2,5.950E2,5.950E2,1.948E3,8.667E-2,1.000E2,1.948E3
12,Result of  TransmA :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,8.846E-3,9.511E-4,8.483E-3,6.643E-3,1.272E-2,5.950E2,5.950E2,1.990E2,8.672E-3,1.000E2,1.990E2
13,Result of  aSG_2mm :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,1.694E-1,1.366E-3,1.692E-1,1.645E-1,1.731E-1,5.950E2,5.950E2,3.811E3,1.695E-1,1.000E2,3.811E3
14,Result of  aSG_5mm :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,1.561E-1,3.486E-3,1.571E-1,1.465E-1,1.631E-1,5.950E2,5.950E2,3.512E3,1.569E-1,1.000E2,3.512E3
15,Result of  aSG_1mm :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,1.739E-1,9.157E-4,1.740E-1,1.705E-1,1.771E-1,5.950E2,5.950E2,3.913E3,1.739E-1,1.000E2,3.913E3
16,Result of  aSG_10mm:  10xFFF [MV]; 400 [MU/min]  ,2.250E4,1.338E-1,7.316E-3,1.403E-1,1.161E-1,1.470E-1,5.950E2,5.950E2,3.011E3,1.352E-1,1.000E2,3.011E3
17,Result of  aSG_20mm:  10xFFF [MV]; 400 [MU/min]  ,2.250E4,1.306E-1,6.716E-3,1.341E-1,1.142E-1,1.441E-1,5.950E2,5.950E2,2.938E3,1.308E-1,1.000E2,2.938E3
18,Result of  TransmB :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,8.676E-3,8.107E-4,8.361E-3,6.695E-3,1.467E-2,5.950E2,5.950E2,1.952E2,8.566E-3,1.000E2,1.952E2
19,Result of  aSG_3mm :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,1.650E-1,2.039E-3,1.659E-1,1.584E-1,1.699E-1,5.950E2,5.950E2,3.713E3,1.653E-1,1.000E2,3.713E3
20,Result of  aSG_7mm :  10xFFF [MV]; 400 [MU/min]  ,2.250E4,1.471E-1,4.992E-3,1.491E-1,1.342E-1,1.568E-1,5.950E2,5.950E2,3.310E3,1.482E-1,1.000E2,3.310E3
21,Result of  20mm:  10xFFF [MV]; 400 [MU/min]  ,2.250E4,1.757E-1,7.596E-4,1.758E-1,1.737E-1,1.795E-1,5.950E2,5.950E2,3.954E3,1.757E-1,1.000E2,3.954E3
